id,firm,date_review,job_title,location,overall_rating,headline,pros,cons
161814,Crowne-Plaza-Hotels-and-Resorts,14/07/2012, Security Guard,Tel Aviv-Yafo,3,care about guests and employees security in the hotel,easy job for unacademic and fun,full time job 24/7. thats mean a lot of sleepless nights
161815,Crowne-Plaza-Hotels-and-Resorts,31/07/2012, Front Desk Agent,"Boston, MA",3,Crowne Plaza,"Good People. Great guests and you have a lot of flexibility qwith how you handle yourself at work. Professional, but you can have a personality unlike many hotel chains.",Management team is very cliquey. There is little room for advancement and they bring people from outside. General managers close friends.
161816,Crowne-Plaza-Hotels-and-Resorts,31/08/2012, Sales Manager,"Billings, MT",3,Great Job - Poor Management,Sales Manager job was fun and no day was ever the same,Upper management was poor and less than helpful. High turnover in sales department.
161817,Crowne-Plaza-Hotels-and-Resorts,02/09/2012, Restaurant Supervisor,"Tampa, FL",4,Superviser F&B,Hospitality and good place for meetings and banquets service,Owned by a bank witch has no experience with the hospitality and tourism
161818,Crowne-Plaza-Hotels-and-Resorts,09/09/2012, ,,3,IHG,good place to start career,similar to other ihg properties
161819,Crowne-Plaza-Hotels-and-Resorts,27/09/2012, Sous Chef,,5,The Staff is excellent.,The location is great for year round employment.,"The pay scale is below average., and w"
161820,Crowne-Plaza-Hotels-and-Resorts,29/09/2012, Catering Sales Manager,,3,Crowne Plaza Hotel,You receive employee rates when traveling.,"Being a privately owned hotel, it is very difficult to get renovations done to the property."
161821,Crowne-Plaza-Hotels-and-Resorts,01/10/2012, Server,"Milwaukee, WI",3,Overworked Restaurant Staff,"I made good money, and working for the hotel you recieved a hotel discount at any crowne plaza hotel.","I was the only server in a restarant that could hold over 100 people. I was hired part time, and they promised to hire other servers. They ""just didn't get around to it"" and I worked full time, 6 days a week from 5:30 am to 4pm. I also had another job at the time where I worked 6pm to 11pm 4 days a week, and told ""Altitude"" (the name of the restaruant"" that I did not want to conflict. Then, when I wanted to cut my hours due to going back to school after the summer ended, my manager refused to let me. So I put my two weeks in, and was done. Luckily, that manager was soon fired from the hotel. Good thing too, she had no idea what she was doing."
161822,Crowne-Plaza-Hotels-and-Resorts,03/10/2012, Dishwasher,"Cromwell, CT",4,it is a good place to work,its a steady paycheck biweekly,not a lot of hours
161823,Crowne-Plaza-Hotels-and-Resorts,29/10/2012, Sales,"Toronto, ON",1,Tremendous amount of turnover,It is a good place to start if you have little experience especially in sales.  The associates are nice and you will get support within your own department.,"Tremendous turnover.  An average sales person lasts only 10 months.  Within 2 years, there has been 250% turnover.  Constant change in direction from the upper management. You feel very confused.  After you close the sale, there is never a thank you for doing a good job. Even after you meet the constraints from Senior Management.  Lot of micro management."
161824,Crowne-Plaza-Hotels-and-Resorts,14/01/2013, PURCHASE ASSISTANT,Bangalore,5,purchase executive,its one of the extraordinary group in my experience.,no employees share like them
161825,Crowne-Plaza-Hotels-and-Resorts,18/01/2013, Line Cook,"Dallas, TX",3,Positive environment,"hire immediately, no medical checkup, no drug screen, discount with affiliated hotels, free food","no company orientation, benefits eligibility after 90 days"
161826,Crowne-Plaza-Hotels-and-Resorts,05/02/2013, Dining Room Attendant,"Philadelphia, PA",3,"It was good, but not something I would want to do forever.","Pay, pleasant coworkers, nice atmosphere","Some rude and mean spirited guests, early hours"
161827,Crowne-Plaza-Hotels-and-Resorts,18/02/2013, Front Desk Agent,,4,Pleasant Experience,"Flexible scheduling, paid time off","Low pay, not many advancement opportunities"
161828,Crowne-Plaza-Hotels-and-Resorts,21/02/2013, ,,3,"I loved working for Crowne, loved my co-workers and the higher management","Great location, good employee discounts on rooms",Not to much room for advancment
161829,Crowne-Plaza-Hotels-and-Resorts,20/03/2013, Sales Manager,,3,Nice people.....micro management....bad pay,The company has good employees and potential for growth. You get to meet people from all over the world. You do get some small travel perks.,The company suffers from strong micro-management. There is a lack of support from corporate office. The benefits could be improved.
161830,Crowne-Plaza-Hotels-and-Resorts,24/06/2013, Food and Beverage Production,New Delhi,5,"It was great experience for me, i was lorn lots of thing there and one more think i was enjoy with my   work there only.",They are provide great environment to there employs and give opportunity to them.,I think i don't have any downside when i was work there.
161831,Crowne-Plaza-Hotels-and-Resorts,01/07/2013, Server,"Union City, CA",1,Cheap customers,"Free food.
All you can eat bacon.","Messy, loud customers
Cheap boss
Coworkers
Food is ready made
Bedbug outbreak"
161832,Crowne-Plaza-Hotels-and-Resorts,29/07/2013, Shipping & Receiving,"King of Prussia, PA",3,"Very challenging,excitingly on a steady pace during certain seasons
need to inprove more on restaurant menu.","Benefits,discounts on septa passes, room rates thru out other states
can use gym,company picnic very good,christmas party always good.","not always fulltime hours, lack of training in certain departments.
very high turnover."
161833,Crowne-Plaza-Hotels-and-Resorts,02/09/2013, Anonymous Employee,"Gurgaon, Haryana, Haryana",5,great,BEST HOTEL IN MY LIFE GREAT HOTEL TO IMPROVE OUR SELF,it is good nothing is
161834,Crowne-Plaza-Hotels-and-Resorts,25/09/2013, House Keeper,"Cleveland, OH",4,The Crowne Plaza is a nice place to get away.,The rooms are cozy and the food is good.,The manager can be real pusher.
161835,Crowne-Plaza-Hotels-and-Resorts,08/10/2013, Commis Chef,Nairobi,5,a competitive luxury hotel in town.,Most effective and efficiency training programs.....,There isn't any of downfall.
161836,Crowne-Plaza-Hotels-and-Resorts,18/10/2013, Catering Sales Manager,"Foster City, CA",2,Not a positive experience...,Property is in a very upper scale area.,Hotel is very run down.
161837,Crowne-Plaza-Hotels-and-Resorts,21/10/2013, Building &Grounds Engineer,"Plymouth, MN",3,Very nice people,"They give free lunch,very nice Hotel,lots of things to do.","Very old building,lots of repair"
161838,Crowne-Plaza-Hotels-and-Resorts,23/10/2013, Housekeeper,"Cleveland, OH",5,I loved it and like my work,they have very friendly staff and they like to try new things and you meet very exciting guest and I learned to work in different departments,there was nothing I did not like I enjoyed everything of my work assignment
161839,Crowne-Plaza-Hotels-and-Resorts,26/10/2013, Marketing,á¸¨awallÄ«,2,Terrible staff,"50% off food, no one cares aboutu","people have no respect for you
too much pressure from the owner"
161840,Crowne-Plaza-Hotels-and-Resorts,17/11/2013, Anonymous Employee,Kuala Lumpur,1,HORRIBLE PLACE OF EMPLOYMENT!,Nothing. There is literally nothing good about working here. I absolutely hated every single thing about working there. They treat their employees like dirt.,"The majority of the managers are IDIOTS. They make it seem like they are so helpful and willing to do anything to make their employees happy, but that is not the case at all. Also, the establishment itself is disgusting. I have never seen a kitchen more disgusting than that one. Bugs all over the place. Worst smell ever. Just all around nasty. Oh and don't count on a raise... ever. No matter how good an employee you are, you're still going to be treated like a pile of crap."
161841,Crowne-Plaza-Hotels-and-Resorts,22/11/2013, Banquet Captain,"Shanghai, Shanghai, Shanghai",1,Good Riddance to Bad Rubbish,Not one I can think of for the foreign banquet workers,Very undisciplined and uneducated coordinators at the banquet division. Treated foreign workers pretty much like animals.
161842,Crowne-Plaza-Hotels-and-Resorts,28/11/2013, Anonymous Employee,"Hamilton, ON",3,Friendly team atmosphere,"parking, location, meals, employee hotel discounts, benefits","family owned, downtown core, not enough hotels in hamilton to maintain high occupancy levels."
161843,Crowne-Plaza-Hotels-and-Resorts,28/11/2013, Head Chef,"Shanghai, Shanghai, Shanghai",5,Head chef Resto  Maroush,"Great employees, awesome customers, great products, fun environment.","following details , more then that  I don't have any cons to add here"
161844,Crowne-Plaza-Hotels-and-Resorts,27/12/2013, Bartender,,3,Good money if you're tipped.,Bartending pays pretty well if you don't mind 12 hour shifts.,"I've always found management fairly condesending. They work with a lot of non-english speakers and seem to have adopted a somewhat parental attitude towards most of the staff. ""Now Maria... Do you think it's a good idea to put that box of soap there?"" 

They're also greedy, and underhanded, it takes everything people can do to keep them from stealing tips/gratuities. The seem to view tips/gratuities as a potential revenue stream. I recently heard they've tried to pay for security guards at events with the gratuity that gets tacked on to bills, which is meant for the staff. 

I guess generally, the management at the location I work at is, sort of sketchy, much like the facilities, misfitish and anti-social. I think those jobs are the last rung on the ladder of management careers in decline."
161845,Crowne-Plaza-Hotels-and-Resorts,06/01/2014, Telephone Operator,"Orlando, FL",5,PBX OPERATOR,Great place to work for life.,Have to wait for opening in PBX
161846,Crowne-Plaza-Hotels-and-Resorts,18/01/2014, Bellman/Shuttle Driver,"Miami, FL",1,Uniform Services,Get place to meet and home soft-skill. Excellent location to network and meet people in  same  job market and stay in touch.,"Badly managaged, and under-staff. Must come to site see for self survey guest service depart overall policies."
161847,Crowne-Plaza-Hotels-and-Resorts,04/02/2014, ,,3,Poor management style and very underfunded,"A larg and busy property with clean and decent rooms, great food with two dining options, amazing function/event spaces","Though function space is nice and updated the owner greatly neglects the common spaces and guest rooms. He is an extremely wealthy man who does not care about the property or hospitality at all. The hotel struggles to pay for anything, not just updates. We are always having a shortage of supplies because venders cut us off for not paying bills. It is very sad really. The property has much potential to be great."
161848,Crowne-Plaza-Hotels-and-Resorts,12/02/2014, Driver,"Northbrook, IL",5,My time at Crowne Plaza Hotel was one that has grown my ability to work in different types of working environments.,"It is a fast pace working environment, you have different guests coming and going for all over, you got to met people that you wouldn't always have chance to met and the people that work there are very friendly and helpful, I felt more like a Family to my co workers than just co workers.",Maybe a little better communication between the employees.
161849,Crowne-Plaza-Hotels-and-Resorts,13/02/2014, Waitress,Copenhagen,4,Good place to work,"Friendly atmosphere, knowledgeable management stuff, good pay. Stuff was very helpful ready to explain things and help. Focus on customer service and efficiency. Fast pace environment that teaches how to be  focused, disciplined, follow orders and at the same time be able to take ownership of the situation and improvise to ensure high quality customer service.",It might be hard for some people to put long hours and night shifts.   However that comes with this type of work.
161850,Crowne-Plaza-Hotels-and-Resorts,27/02/2014," Hostess, Bannquets, Bartender","West Palm Beach, FL",5,wonderful experience,guests are easy to please. great team work.beautiful atmosphere,I did not have to deal with anything. if I work late they  allowed me to stay over because I was the break fast set up and opener
161851,Crowne-Plaza-Hotels-and-Resorts,03/03/2014, HOUSEMAN,"Seattle, WA",3,"Not a bad gig, they'll take care of you","Good hours, with mandatory breaks",Not much overtime is offered
161852,Crowne-Plaza-Hotels-and-Resorts,11/03/2014, ,,5,Just Like Family,The work environment is wonderful. The people are very friendly and work well as a team.,There are some standard annoyances that come with any job.
161853,Crowne-Plaza-Hotels-and-Resorts,23/03/2014, Doormen,"Knoxville, TN",3,Not a bad little gig,"Tips were great when hotel was busy, free meals, good opportunity for young people/college kids to network.","Dealing with pretentious guests, wearing the bellhop outfit, most people that work in the hotel industry are crazy.  Employee meals were average.  Overall a good part-time gig."
161854,Crowne-Plaza-Hotels-and-Resorts,23/03/2014, Shift Engineer,Bangalore,3,Engineer,Individual Responsibility Self Decision no Proper head of Department,Challenges are project involvement and Operation both together
161855,Crowne-Plaza-Hotels-and-Resorts,06/04/2014, Guest Services Agent,"Lansing, MI",3,Decent for a College job,The best thing about the hotel are the people. Your co-workers are the best people in the world and very humorous.,Internally there are huge divides between departments and it seems that know one handles one problem the same.
161856,Crowne-Plaza-Hotels-and-Resorts,08/04/2014, Anonymous Employee,,2,One the the unsafest hotels to work for.,Most of the people that work there are great.,This hotel is poorly run and is very unsafe.
161857,Crowne-Plaza-Hotels-and-Resorts,14/04/2014, Anonymous Employee,Jeddah,3,Neutral Experience,It's a great place to work for a graduate. But not for a qualified person.,No potential for personnel growth.
161858,Crowne-Plaza-Hotels-and-Resorts,19/05/2014, Server,"Orlando, FL",3,"Good money as Server, way too corporate though","Great money for in-between career people, or small family. 
Great resume glitter.","Upper Management cares nothing about you.
If you mess anything up, there's little room for patience.
Lots of downtime as Server sometimes."
161859,Crowne-Plaza-Hotels-and-Resorts,21/05/2014, Front Desk Agent,"White Plains, NY",4,Front Desk Agent,"In my opinion, I like working here because this company offer great incentives to their employees; at least better than other employers that I've worked for in the past.","One con that I can think about is the pay rate, which is far from adequate especially living in New York City."
161860,Crowne-Plaza-Hotels-and-Resorts,21/05/2014, Outlet Supervisor,"Columbus, OH",3,Micro manages,Working for Crowne plaza was a great.  The majority of the hotel management and staff were amazing. There was a decent starting pay and alright benefits.,With such a large place and having so many departments it was easy to get over looked by upper management.  Don't expect an annual raise.  They are pretty much non existent. The work life balance is terrible. If you are not an salaried manager you will pick up all the slack after 5pm.  Constantly under staffed.
161861,Crowne-Plaza-Hotels-and-Resorts,16/06/2014, Anonymous Employee,"Virginia Beach, VA",2,never changes,"flexible schedules
opportunities for advancement (if you work really well and suck up to management)","unorganized
no communication 
cheap with everything
not consistent"
161862,Crowne-Plaza-Hotels-and-Resorts,18/06/2014, Front Desk Agent,"Dallas, TX",1,Eccentric Owner,I work for Tog Hotels which happens to own and manage a Crowne Plaza in Downtown Dallas. I love working for IHG hotels because I think they have the best loyalty program.,"The owner Terry Tognazzini, is a very egotistical and eccentric old man that only cares about his staff jumping to attention when he comes around whether your with a guest or not. He doesn't care about customer service only that you do things his way. Which are very backwards compared to any hotel that I have ever worked for."
161863,Crowne-Plaza-Hotels-and-Resorts,26/06/2014, Guest Service Representative,"Auburn Hills, MI",3,I met a lot of interesting people from around the world.,I really enjoyed the guests and my co-workers.,The pay is not very good and the management needs a lot of help.
161864,Crowne-Plaza-Hotels-and-Resorts,27/06/2014, Hostess,"Atlanta, GA",3,Hostest - Food & Beverage,"Most of the time, you are surrounded by a good group of fellow employees that helps the day go by fast.",The higher ups are sometimes more expecting and show little gratitude for your efforts.
161865,Crowne-Plaza-Hotels-and-Resorts,09/07/2014, Anonymous,,4,Educational,I learned a lot about the computer system and the director of rooms put extra effort into making sure the employees understood the computer system,Understaffed. This led to the management ultimately taking advantage of the employees
161866,Crowne-Plaza-Hotels-and-Resorts,16/07/2014, ,,5,Cool place to work like a family,"Awesome co workers, good enviorment, flexable work schedule.  Great ownership",Limite growth for financial wealth.  Could be more efficient and organize.  Great ownership but still very mom and pop
161867,Crowne-Plaza-Hotels-and-Resorts,16/07/2014, Executive Sous Chef,"Chandler, AZ",3,Unstable environment  to work in and company itself is very unstable,Great people to work with management is very flexible and it's a great learning environment for new and up coming culinary career seekers.,Parent company very unstable has changed hands 3-4 times int he last 4 years and continues to have financial issues.
161868,Crowne-Plaza-Hotels-and-Resorts,25/07/2014, Apprentice,"Manila, Manila, Manila",4,Great Hotel,Good working environment. Good Management. Positive place.,Some people are difficult to deal with. Low Income
161869,Crowne-Plaza-Hotels-and-Resorts,12/08/2014, Manager,"Atlanta, GA",3,Okay company,Great location and great event space,There is no work life balance
161870,Crowne-Plaza-Hotels-and-Resorts,28/08/2014, ,,2,Outlet Manager,"Good staff, hard working banquet staff",Not a good work life balance
161871,Crowne-Plaza-Hotels-and-Resorts,03/09/2014, Concierge,"Harrisburg, PA",2,A job of convenience became very in convenient.,The employee discount rate at any member property for one's self and family is a wonderful perk that I took advantage of twice.,"Upper Management in my section did not (for what ever reason) hire new people to replace people lost and for the busy season.  4 or 5 people were doing the work of 7.  There were no back up people, no people to spare, the schedule only worked if nothing went wrong in people's lives.  You shouldn't see  just 3 managers manning the front desk on a busy night with no regular staff.  We went through tourist season with our minimal winter staff and they were wondering why our  satisfaction numbers dropped.   Reconciliation with other jobs has been an issue (overlapping job schedules) for some part time workers.
    Employee meetings had a tended  to be prep rallies where we were encouraged to do better.  Employee issues were heard, but were largely, but not always, ignored.  This leads to the inability to positively change/improve the work place and apathy sets in.

    The duties had the habit of metastasizing like a cancer and you had to be very firm about your cut off line. 

    I could not afford the health insurance and while there was dental and vision, I never saw the paper work.  The concept of a raise was pointless to bring up; it didn't happen."
161872,Crowne-Plaza-Hotels-and-Resorts,08/09/2014, Food and Bevrage Manager,"Edison, NJ",5,Great Place To Work,The Crowne Plaza Pushes for team work which is a major key in any hotel,not to many cons to post
161873,Crowne-Plaza-Hotels-and-Resorts,16/09/2014, Host,"Las Vegas, NV",3,It was a good place to work on fremont st,Management wanted to see employee succeed and offered training classes,Not a lot of reinvestment into the property
161874,Crowne-Plaza-Hotels-and-Resorts,18/09/2014, Anonymous Employee,,5,Good experience--learned a lot,"Great with schedule flexibility, good place to get experience, good benefits, amazing people","Sometimes they make big deals on little things, overlook hard work but focus on mistakes."
161875,Crowne-Plaza-Hotels-and-Resorts,19/09/2014, Project Coordinator,"Detroit, MI",3,"I loved working at the Crowne Plaza, its their hiring company (MCM Staffing) That I didnt like.",The company culture is fun.,"Their was a lot of lack of communication and organization on managements end. Crowne Plaza Pontchartrain has a staffing agency that does ALL of the hiring for the hotel, (MCM Staffing) and by fat this is the WORSE agency I've ever worked for. I would work for Crowne Plaza again, but NEVER through MCM Staffing."
161876,Crowne-Plaza-Hotels-and-Resorts,28/09/2014, ,,5,Great Team Spirit!,Excellent Training Possibilities within IHG. You have room to growth & the team has a great Spirit to achieve something big.,"Unfortunately the building itself is a bit olded and would definitely need a renovation. From guest perspective, the location isn't ideally located."
161877,Crowne-Plaza-Hotels-and-Resorts,30/09/2014, Housekeeping Supervisor,"Saint Paul, MN",4,My experience at Crowne Plaza was a great way for me to build on paying attention to detail a lot better.,The best reason working here is that the way they hire a diverse of many cultures and the training is excellent.,The worse reason for working here is that you will have no time for family.
161878,Crowne-Plaza-Hotels-and-Resorts,09/10/2014, Anonymous Employee,,5,Crown Plaza was a great place to work.,The best thing free lunch and xmas party.,When you have all check outs.
161879,Crowne-Plaza-Hotels-and-Resorts,23/10/2014, ,,2,Meeting planner,I loved what i did,Management needed to be fair to employees
161880,Crowne-Plaza-Hotels-and-Resorts,24/10/2014, Food and Beverage Manager,"Philadelphia, PA",3,Okay Company,Good Starting career. Work with a great team.,"Long hours, low pay. 
Owners only care about the money"
161881,Crowne-Plaza-Hotels-and-Resorts,25/10/2014, Bartender,"Dallas, TX",3,Disorganized,"Money can be good.
Friendly coworkers.
Relaxed scheduling - can call out without an issue, can take time off without an issue.","Money can be horrible, but that's the nature of bartending.
Incredibly disorganized.
Very few hours or opportunities to get more.
Pay rate??? Worked there for two months and I still don't know how much or even if I get paid.
Management is all over the place."
161882,Crowne-Plaza-Hotels-and-Resorts,28/10/2014, ,,1,terrible experience,nothing good happened there nothing...,"long hours , chaos, terrible management"
161883,Crowne-Plaza-Hotels-and-Resorts,07/11/2014, ,,4,Crowne Plaza,"Great environment, very motivating to be a part of.",Not too much room to move up.
161884,Crowne-Plaza-Hotels-and-Resorts,29/11/2014, Department Head,Dubai,3,Good Company overall,The company recently changed its mission and vision statments and this was cascaded down to its staff which has driven their passion for better service,The online resources for managing departmental aspects need to be developed or improved
161885,Crowne-Plaza-Hotels-and-Resorts,02/12/2014, ,,2,Nightmare,The schedule wad bery goid,Managament not know how to manage
161886,Crowne-Plaza-Hotels-and-Resorts,04/12/2014, Front Office Supervisor,"Oklahoma City, OK",3,Corporate should check in more....,"Fellow employees in same department were alright to work with, got good discounts on rooms when traveling for yourself and family.",The awards policy gave a false entitlement to guests and even if you do the right steps to try and make sure the customer is happy you will be fired anyways for a complaint that was unavoidable.
161887,Crowne-Plaza-Hotels-and-Resorts,09/12/2014, Front Desk Agent,"Columbus, OH",5,"Great company to work for, really care about all of the employees and how you are doing in your placement","Meet a lot of people, everyone is friendly because they are there for customer service.","I do not like that there are weird shift hours which consist of 7-3 3,11 or a mid shift 11-6 find it hard to work around my school schedule."
161888,Crowne-Plaza-Hotels-and-Resorts,21/12/2014, Assistant Sales Manager,Bangalore,4,Amazing company/ global brand to work with.,"Learning & engagement is great,all scope to grow within the organization.",If its a owner driven as in managed property then challenges where will be maddening.
161889,Crowne-Plaza-Hotels-and-Resorts,25/12/2014, Hostess,"Chicago, IL",3,I worked here for seven years. Great benefits but lots of micro managing.,"I worked at the hotel in Chicago's west loop. I had great benefits, decent pay for my position and met a lot of people. Not all management was bad and some of the co-workers were awesome people and life-long friends.","Upper management never listed to anyone nor respected their staff.  They instilled fear in employees. Dead end job, no promotion and recognition is only for those who kiss up consistently."
161890,Crowne-Plaza-Hotels-and-Resorts,06/01/2015, Anonymous Employee,,2,"Great for a job, NOT A CAREER","Full 40hrs, Good co workers","Untrained management, terrible pay, old and unsafe equipment, if you have an idea or opinion that is better than your supervisors it doesn't exist."
161891,Crowne-Plaza-Hotels-and-Resorts,07/01/2015, F & B Director,"Los Angeles, CA",1,Unfortunate took a great place and screwed it up!,Nice environment sadly from previous owner,Cheap Cheap Cheap Cheap Cheap
161892,Crowne-Plaza-Hotels-and-Resorts,13/01/2015, Banquet Coordinator,"Sacramento, CA",3,"After working for Crowne Plaza in the banquet department for a little over two years, I noticed that consistent errors that can be easily adjusted are never ironed out. This job is fitting for those in need of a transition, high school or college students, or that second part time job that you solely work to make money to go out and what not - there is no career advancement. However, for those in that category aforementioned you'll have a blast during your stay there as long as you have supporting management team.","Accommodating work schedule, always entertained, network with many people, free food.","Ridiculous demands, inconsistent work hours, poor management, and small time frames."
161893,Crowne-Plaza-Hotels-and-Resorts,18/01/2015, Front Office Supervisor,"West Palm Beach, FL",4,Give me a second chance!!!,"Professional Environment, Plenty Opportunity for Promotion, Strong & Encouraging Leadership","You have to think progress, as entry level positions at the hotel are hardly enough to live on."
161894,Crowne-Plaza-Hotels-and-Resorts,30/01/2015, Front Office Manager,"Dublin, Dublin",5,Good training and development,"Ongoing training offered, internal promotions and opportunities given, good on incentives and rewards. This is credit to the individual property rather than the whole chain, which I cannot speak for.","Salaries are low as is typical of the industry, regardless of level of education and languages spoken. With a masters degree and 3 languages I was being paid the same as other heads of department who had neither."
161895,Crowne-Plaza-Hotels-and-Resorts,02/02/2015, ,,3,Good benefits and employee perks,Worked with my school schedule,I worked in the cafe and things were a little unorganized
161896,Crowne-Plaza-Hotels-and-Resorts,07/02/2015, Ex Sous Chef,Dubai,3,my experience is not bad but not so good how much i expect  from here,there is not best reason  work here only good reason to work here,for challenging work  .. they have to much its depend for employee they can do or not
161897,Crowne-Plaza-Hotels-and-Resorts,11/02/2015, Food and Beverage,"Princeton, NJ",2,Great Potential but Management and Owners Dont Care,"- This was at the Crowne Plaza at Princeton
- Amazing guests, chances to meet C-level executives, celebrities, and great families traveling all over.
- Hone guest relation skills and work directly with the public.
- Work with great people and assist in taking care of guests, learn new departments and skills
- Great Tips!","- Unsupportive management with a ""fire first"" mentality when it comes to anyone who challenges or disagrees with their commands. No room for discussion matched with a ruthless and cold HR person that does not support or work for the employee interest.
- Zero opportunity for advancement, they will hire outside before looking internally and they definitely do not have any career path training. This is a job, not a career.
- HR policies basically designed to keep you under the thumb of management and able to fire you at their discretion and interpretation of those policies. Every employee expects to get fired daily.
- No consistency to brand values, only care when an audit is coming up."
161898,Crowne-Plaza-Hotels-and-Resorts,11/02/2015, Food and Beverage Supervisor,"Houston, TX",4,Stick with it,Good work while in college,Pay is very low compared to other hotels
161899,Crowne-Plaza-Hotels-and-Resorts,02/03/2015, ,"Houston, TX",2,I liked the company because of the people I got to work with.,The employee benefits like room discounts and meeting celebrities,"No job security, no health benefits and the turn-over rate is high."
161900,Crowne-Plaza-Hotels-and-Resorts,11/03/2015, ,,1,Sales Manager-Detroit,"Co-workers, free Starbucks coffee....... That truly is it! I cannot explain how aweful it is there!","There was no heat/ air in the Sales office, as the owner did not care to fix the issue. The turnover was constant as I had two Directors of Sales along with Two consultants, so in essence FOUR DOS's in two years along with three GM's. The micro managing and lack of respect for the employees is something I have never experienced before!"
161901,Crowne-Plaza-Hotels-and-Resorts,17/03/2015, ,,1,HORRIBLE!,"inside, not construction or roofing job","total lack of leadership, clear goals"
161902,Crowne-Plaza-Hotels-and-Resorts,30/03/2015, ,,3,Riverfront Hotel. Newly remodeled.,Automatic gratuity of 15% per order. Medical Benefits. Union hotel,"Labor intensive, physically demanding job"
161903,Crowne-Plaza-Hotels-and-Resorts,30/03/2015, Front Desk Assistant Manager,"Cherry Hill, NJ",1,Front desk manager,Their are no Pros to report but maybe pay was decent,Everyone  talks about everyone gossip gossip poor management unorganized unprofessional no team work there for 3 months with no training
161904,Crowne-Plaza-Hotels-and-Resorts,30/03/2015, Receptionist,"Liverpool, England, England",3,"Great for starters, but no progression","Uniform provided, great social aspects, staff appreciation schemes, staff room, hotel discounts available","Not much room for career progression or skill development, unacceptable working hours - managers would expect you to finish at 11:15pm and start your next shift at 6:45am regardless of how far you had to travel home. Women were expected to wear heeled shoes whilst standing behind a counter for long hours with rarely any breaks."
161905,Crowne-Plaza-Hotels-and-Resorts,06/04/2015, ,,3,the smiles,"Friendly atmosphere, very welcoming family feeling.",Can get gossipy and petty at times with the co-workers. Training is all over the place.
161906,Crowne-Plaza-Hotels-and-Resorts,10/04/2015, Guest Service Representative,"Baton Rouge, LA",4,Great,Good and supportive administration. Great exposure to people and cultures. Good managerial experience. Ability to make connections and network.,Long shifts of 9-12 hours. Long hours of standing up. Constant activity and issues to resolve.
