id,firm,date_review,job_title,location,overall_rating,headline,pros,cons,reviewText,Negative Sentiment,Neutral Sentiment,Positive Sentiment,Sentiment
161814,Crowne-Plaza-Hotels-and-Resorts,14/07/2012, Security Guard,Tel Aviv-Yafo,3,care about guests and employees security in the hotel,easy job for unacademic and fun,full time job 24/7. thats mean a lot of sleepless nights,care about guests and employees security in the hotel easy job for unacademic and fun full time job 24/7. thats mean a lot of sleepless nights,0.27419904,0.4537696,0.27203134,Neutral Sentiment
161815,Crowne-Plaza-Hotels-and-Resorts,31/07/2012, Front Desk Agent,"Boston, MA",3,Crowne Plaza,"Good People. Great guests and you have a lot of flexibility qwith how you handle yourself at work. Professional, but you can have a personality unlike many hotel chains.",Management team is very cliquey. There is little room for advancement and they bring people from outside. General managers close friends.,"Crowne Plaza Good People. Great guests and you have a lot of flexibility qwith how you handle yourself at work. Professional, but you can have a personality unlike many hotel chains. Management team is very cliquey. There is little room for advancement and they bring people from outside. General managers close friends.",0.019085882,0.12164494,0.85926914,Positive Sentiment
161816,Crowne-Plaza-Hotels-and-Resorts,31/08/2012, Sales Manager,"Billings, MT",3,Great Job - Poor Management,Sales Manager job was fun and no day was ever the same,Upper management was poor and less than helpful. High turnover in sales department.,Great Job - Poor Management Sales Manager job was fun and no day was ever the same Upper management was poor and less than helpful. High turnover in sales department.,0.29835394,0.364796,0.33685005,Neutral Sentiment
161817,Crowne-Plaza-Hotels-and-Resorts,02/09/2012, Restaurant Supervisor,"Tampa, FL",4,Superviser F&B,Hospitality and good place for meetings and banquets service,Owned by a bank witch has no experience with the hospitality and tourism,Superviser F&B Hospitality and good place for meetings and banquets service Owned by a bank witch has no experience with the hospitality and tourism,0.092374094,0.46500814,0.44261777,Neutral Sentiment
161818,Crowne-Plaza-Hotels-and-Resorts,09/09/2012, ,,3,IHG,good place to start career,similar to other ihg properties,IHG good place to start career similar to other ihg properties,0.002409563,0.10738203,0.89020836,Positive Sentiment
161819,Crowne-Plaza-Hotels-and-Resorts,27/09/2012, Sous Chef,,5,The Staff is excellent.,The location is great for year round employment.,"The pay scale is below average., and w","The Staff is excellent. The location is great for year round employment. The pay scale is below average., and w",0.002825064,0.017328802,0.9798462,Positive Sentiment
161820,Crowne-Plaza-Hotels-and-Resorts,29/09/2012, Catering Sales Manager,,3,Crowne Plaza Hotel,You receive employee rates when traveling.,"Being a privately owned hotel, it is very difficult to get renovations done to the property.","Crowne Plaza Hotel You receive employee rates when traveling. Being a privately owned hotel, it is very difficult to get renovations done to the property.",0.56477433,0.38521734,0.050008297,Negative Sentiment
161821,Crowne-Plaza-Hotels-and-Resorts,01/10/2012, Server,"Milwaukee, WI",3,Overworked Restaurant Staff,"I made good money, and working for the hotel you recieved a hotel discount at any crowne plaza hotel.","I was the only server in a restarant that could hold over 100 people. I was hired part time, and they promised to hire other servers. They ""just didn't get around to it"" and I worked full time, 6 days a week from 5:30 am to 4pm. I also had another job at the time where I worked 6pm to 11pm 4 days a week, and told ""Altitude"" (the name of the restaruant"" that I did not want to conflict. Then, when I wanted to cut my hours due to going back to school after the summer ended, my manager refused to let me. So I put my two weeks in, and was done. Luckily, that manager was soon fired from the hotel. Good thing too, she had no idea what she was doing.","Overworked Restaurant Staff I made good money, and working for the hotel you recieved a hotel discount at any crowne plaza hotel. I was the only server in a restarant that could hold over 100 people. I was hired part time, and they promised to hire other servers. They ""just didn't get around to it"" and I worked full time, 6 days a week from 5:30 am to 4pm. I also had another job at the time where I worked 6pm to 11pm 4 days a week, and told ""Altitude"" (the name of the restaruant"" that I did not want to conflict. Then, when I wanted to cut my hours due to going back to school after the summer ended, my manager refused to let me. So I put my two weeks in, and was done. Luckily, that manager was soon fired from the hotel. Good thing too, she had no idea what she was doing.",0.17001486,0.49367422,0.3363109,Neutral Sentiment
161822,Crowne-Plaza-Hotels-and-Resorts,03/10/2012, Dishwasher,"Cromwell, CT",4,it is a good place to work,its a steady paycheck biweekly,not a lot of hours,it is a good place to work its a steady paycheck biweekly not a lot of hours,0.003693912,0.03205817,0.96424794,Positive Sentiment
161823,Crowne-Plaza-Hotels-and-Resorts,29/10/2012, Sales,"Toronto, ON",1,Tremendous amount of turnover,It is a good place to start if you have little experience especially in sales.  The associates are nice and you will get support within your own department.,"Tremendous turnover.  An average sales person lasts only 10 months.  Within 2 years, there has been 250% turnover.  Constant change in direction from the upper management. You feel very confused.  After you close the sale, there is never a thank you for doing a good job. Even after you meet the constraints from Senior Management.  Lot of micro management.","Tremendous amount of turnover It is a good place to start if you have little experience especially in sales.  The associates are nice and you will get support within your own department. Tremendous turnover.  An average sales person lasts only 10 months.  Within 2 years, there has been 250% turnover.  Constant change in direction from the upper management. You feel very confused.  After you close the sale, there is never a thank you for doing a good job. Even after you meet the constraints from Senior Management.  Lot of micro management.",0.41467652,0.40024453,0.18507898,Negative Sentiment
161824,Crowne-Plaza-Hotels-and-Resorts,14/01/2013, PURCHASE ASSISTANT,Bangalore,5,purchase executive,its one of the extraordinary group in my experience.,no employees share like them,purchase executive its one of the extraordinary group in my experience. no employees share like them,0.004576296,0.05466549,0.94075817,Positive Sentiment
161825,Crowne-Plaza-Hotels-and-Resorts,18/01/2013, Line Cook,"Dallas, TX",3,Positive environment,"hire immediately, no medical checkup, no drug screen, discount with affiliated hotels, free food","no company orientation, benefits eligibility after 90 days","Positive environment hire immediately, no medical checkup, no drug screen, discount with affiliated hotels, free food no company orientation, benefits eligibility after 90 days",0.005213585,0.14740491,0.8473815,Positive Sentiment
161826,Crowne-Plaza-Hotels-and-Resorts,05/02/2013, Dining Room Attendant,"Philadelphia, PA",3,"It was good, but not something I would want to do forever.","Pay, pleasant coworkers, nice atmosphere","Some rude and mean spirited guests, early hours","It was good, but not something I would want to do forever. Pay, pleasant coworkers, nice atmosphere Some rude and mean spirited guests, early hours",0.14519855,0.26131067,0.5934908,Positive Sentiment
161827,Crowne-Plaza-Hotels-and-Resorts,18/02/2013, Front Desk Agent,,4,Pleasant Experience,"Flexible scheduling, paid time off","Low pay, not many advancement opportunities","Pleasant Experience Flexible scheduling, paid time off Low pay, not many advancement opportunities",0.2168705,0.5887133,0.19441618,Neutral Sentiment
161828,Crowne-Plaza-Hotels-and-Resorts,21/02/2013, ,,3,"I loved working for Crowne, loved my co-workers and the higher management","Great location, good employee discounts on rooms",Not to much room for advancment,"I loved working for Crowne, loved my co-workers and the higher management Great location, good employee discounts on rooms Not to much room for advancment",0.003161919,0.011884894,0.98495317,Positive Sentiment
161829,Crowne-Plaza-Hotels-and-Resorts,20/03/2013, Sales Manager,,3,Nice people.....micro management....bad pay,The company has good employees and potential for growth. You get to meet people from all over the world. You do get some small travel perks.,The company suffers from strong micro-management. There is a lack of support from corporate office. The benefits could be improved.,Nice people.....micro management....bad pay The company has good employees and potential for growth. You get to meet people from all over the world. You do get some small travel perks. The company suffers from strong micro-management. There is a lack of support from corporate office. The benefits could be improved.,0.11438795,0.24210256,0.64350945,Positive Sentiment
161830,Crowne-Plaza-Hotels-and-Resorts,24/06/2013, Food and Beverage Production,New Delhi,5,"It was great experience for me, i was lorn lots of thing there and one more think i was enjoy with my   work there only.",They are provide great environment to there employs and give opportunity to them.,I think i don't have any downside when i was work there.,"It was great experience for me, i was lorn lots of thing there and one more think i was enjoy with my   work there only. They are provide great environment to there employs and give opportunity to them. I think i don't have any downside when i was work there.",0.003469981,0.017826196,0.9787038,Positive Sentiment
161831,Crowne-Plaza-Hotels-and-Resorts,01/07/2013, Server,"Union City, CA",1,Cheap customers,"Free food.
All you can eat bacon.","Messy, loud customers
Cheap boss
Coworkers
Food is ready made
Bedbug outbreak","Cheap customers Free food.
All you can eat bacon. Messy, loud customers
Cheap boss
Coworkers
Food is ready made
Bedbug outbreak",0.53608465,0.35147277,0.11244256,Negative Sentiment
161832,Crowne-Plaza-Hotels-and-Resorts,29/07/2013, Shipping & Receiving,"King of Prussia, PA",3,"Very challenging,excitingly on a steady pace during certain seasons
need to inprove more on restaurant menu.","Benefits,discounts on septa passes, room rates thru out other states
can use gym,company picnic very good,christmas party always good.","not always fulltime hours, lack of training in certain departments.
very high turnover.","Very challenging,excitingly on a steady pace during certain seasons
need to inprove more on restaurant menu. Benefits,discounts on septa passes, room rates thru out other states
can use gym,company picnic very good,christmas party always good. not always fulltime hours, lack of training in certain departments.
very high turnover.",0.006024756,0.063973404,0.9300018,Positive Sentiment
161833,Crowne-Plaza-Hotels-and-Resorts,02/09/2013, Anonymous Employee,"Gurgaon, Haryana, Haryana",5,great,BEST HOTEL IN MY LIFE GREAT HOTEL TO IMPROVE OUR SELF,it is good nothing is,great BEST HOTEL IN MY LIFE GREAT HOTEL TO IMPROVE OUR SELF it is good nothing is,0.002431532,0.012090989,0.9854775,Positive Sentiment
161834,Crowne-Plaza-Hotels-and-Resorts,25/09/2013, House Keeper,"Cleveland, OH",4,The Crowne Plaza is a nice place to get away.,The rooms are cozy and the food is good.,The manager can be real pusher.,The Crowne Plaza is a nice place to get away. The rooms are cozy and the food is good. The manager can be real pusher.,0.002071316,0.019151993,0.97877675,Positive Sentiment
161835,Crowne-Plaza-Hotels-and-Resorts,08/10/2013, Commis Chef,Nairobi,5,a competitive luxury hotel in town.,Most effective and efficiency training programs.....,There isn't any of downfall.,a competitive luxury hotel in town. Most effective and efficiency training programs..... There isn't any of downfall.,0.018597895,0.18937543,0.7920267,Positive Sentiment
161836,Crowne-Plaza-Hotels-and-Resorts,18/10/2013, Catering Sales Manager,"Foster City, CA",2,Not a positive experience...,Property is in a very upper scale area.,Hotel is very run down.,Not a positive experience... Property is in a very upper scale area. Hotel is very run down.,0.89683115,0.09290401,0.01026479,Negative Sentiment
161837,Crowne-Plaza-Hotels-and-Resorts,21/10/2013, Building &Grounds Engineer,"Plymouth, MN",3,Very nice people,"They give free lunch,very nice Hotel,lots of things to do.","Very old building,lots of repair","Very nice people They give free lunch,very nice Hotel,lots of things to do. Very old building,lots of repair",0.010270083,0.05207774,0.93765223,Positive Sentiment
161838,Crowne-Plaza-Hotels-and-Resorts,23/10/2013, Housekeeper,"Cleveland, OH",5,I loved it and like my work,they have very friendly staff and they like to try new things and you meet very exciting guest and I learned to work in different departments,there was nothing I did not like I enjoyed everything of my work assignment,I loved it and like my work they have very friendly staff and they like to try new things and you meet very exciting guest and I learned to work in different departments there was nothing I did not like I enjoyed everything of my work assignment,0.002221461,0.009171056,0.98860747,Positive Sentiment
161839,Crowne-Plaza-Hotels-and-Resorts,26/10/2013, Marketing,á¸¨awallÄ«,2,Terrible staff,"50% off food, no one cares aboutu","people have no respect for you
too much pressure from the owner","Terrible staff 50% off food, no one cares aboutu people have no respect for you
too much pressure from the owner",0.9717165,0.025971642,0.002311914,Negative Sentiment
161840,Crowne-Plaza-Hotels-and-Resorts,17/11/2013, Anonymous Employee,Kuala Lumpur,1,HORRIBLE PLACE OF EMPLOYMENT!,Nothing. There is literally nothing good about working here. I absolutely hated every single thing about working there. They treat their employees like dirt.,"The majority of the managers are IDIOTS. They make it seem like they are so helpful and willing to do anything to make their employees happy, but that is not the case at all. Also, the establishment itself is disgusting. I have never seen a kitchen more disgusting than that one. Bugs all over the place. Worst smell ever. Just all around nasty. Oh and don't count on a raise... ever. No matter how good an employee you are, you're still going to be treated like a pile of crap.","HORRIBLE PLACE OF EMPLOYMENT! Nothing. There is literally nothing good about working here. I absolutely hated every single thing about working there. They treat their employees like dirt. The majority of the managers are IDIOTS. They make it seem like they are so helpful and willing to do anything to make their employees happy, but that is not the case at all. Also, the establishment itself is disgusting. I have never seen a kitchen more disgusting than that one. Bugs all over the place. Worst smell ever. Just all around nasty. Oh and don't count on a raise... ever. No matter how good an employee you are, you're still going to be treated like a pile of crap.",0.98216784,0.015333205,0.002498879,Negative Sentiment
161841,Crowne-Plaza-Hotels-and-Resorts,22/11/2013, Banquet Captain,"Shanghai, Shanghai, Shanghai",1,Good Riddance to Bad Rubbish,Not one I can think of for the foreign banquet workers,Very undisciplined and uneducated coordinators at the banquet division. Treated foreign workers pretty much like animals.,Good Riddance to Bad Rubbish Not one I can think of for the foreign banquet workers Very undisciplined and uneducated coordinators at the banquet division. Treated foreign workers pretty much like animals.,0.88183695,0.109718174,0.008444825,Negative Sentiment
161842,Crowne-Plaza-Hotels-and-Resorts,28/11/2013, Anonymous Employee,"Hamilton, ON",3,Friendly team atmosphere,"parking, location, meals, employee hotel discounts, benefits","family owned, downtown core, not enough hotels in hamilton to maintain high occupancy levels.","Friendly team atmosphere parking, location, meals, employee hotel discounts, benefits family owned, downtown core, not enough hotels in hamilton to maintain high occupancy levels.",0.03029392,0.29398873,0.67571735,Positive Sentiment
161843,Crowne-Plaza-Hotels-and-Resorts,28/11/2013, Head Chef,"Shanghai, Shanghai, Shanghai",5,Head chef Resto  Maroush,"Great employees, awesome customers, great products, fun environment.","following details , more then that  I don't have any cons to add here","Head chef Resto  Maroush Great employees, awesome customers, great products, fun environment. following details , more then that  I don't have any cons to add here",0.004719589,0.033521663,0.96175873,Positive Sentiment
161844,Crowne-Plaza-Hotels-and-Resorts,27/12/2013, Bartender,,3,Good money if you're tipped.,Bartending pays pretty well if you don't mind 12 hour shifts.,"I've always found management fairly condesending. They work with a lot of non-english speakers and seem to have adopted a somewhat parental attitude towards most of the staff. ""Now Maria... Do you think it's a good idea to put that box of soap there?"" 

They're also greedy, and underhanded, it takes everything people can do to keep them from stealing tips/gratuities. The seem to view tips/gratuities as a potential revenue stream. I recently heard they've tried to pay for security guards at events with the gratuity that gets tacked on to bills, which is meant for the staff. 

I guess generally, the management at the location I work at is, sort of sketchy, much like the facilities, misfitish and anti-social. I think those jobs are the last rung on the ladder of management careers in decline.","Good money if you're tipped. Bartending pays pretty well if you don't mind 12 hour shifts. I've always found management fairly condesending. They work with a lot of non-english speakers and seem to have adopted a somewhat parental attitude towards most of the staff. ""Now Maria... Do you think it's a good idea to put that box of soap there?"" 

They're also greedy, and underhanded, it takes everything people can do to keep them from stealing tips/gratuities. The seem to view tips/gratuities as a potential revenue stream. I recently heard they've tried to pay for security guards at events with the gratuity that gets tacked on to bills, which is meant for the staff. 

I guess generally, the management at the location I work at is, sort of sketchy, much like the facilities, misfitish and anti-social. I think those jobs are the last rung on the ladder of management careers in decline.",0.5085432,0.38291276,0.10854403,Negative Sentiment
161845,Crowne-Plaza-Hotels-and-Resorts,06/01/2014, Telephone Operator,"Orlando, FL",5,PBX OPERATOR,Great place to work for life.,Have to wait for opening in PBX,PBX OPERATOR Great place to work for life. Have to wait for opening in PBX,0.004445047,0.034681085,0.9608739,Positive Sentiment
161846,Crowne-Plaza-Hotels-and-Resorts,18/01/2014, Bellman/Shuttle Driver,"Miami, FL",1,Uniform Services,Get place to meet and home soft-skill. Excellent location to network and meet people in  same  job market and stay in touch.,"Badly managaged, and under-staff. Must come to site see for self survey guest service depart overall policies.","Uniform Services Get place to meet and home soft-skill. Excellent location to network and meet people in  same  job market and stay in touch. Badly managaged, and under-staff. Must come to site see for self survey guest service depart overall policies.",0.09441683,0.35863173,0.5469515,Positive Sentiment
161847,Crowne-Plaza-Hotels-and-Resorts,04/02/2014, ,,3,Poor management style and very underfunded,"A larg and busy property with clean and decent rooms, great food with two dining options, amazing function/event spaces","Though function space is nice and updated the owner greatly neglects the common spaces and guest rooms. He is an extremely wealthy man who does not care about the property or hospitality at all. The hotel struggles to pay for anything, not just updates. We are always having a shortage of supplies because venders cut us off for not paying bills. It is very sad really. The property has much potential to be great.","Poor management style and very underfunded A larg and busy property with clean and decent rooms, great food with two dining options, amazing function/event spaces Though function space is nice and updated the owner greatly neglects the common spaces and guest rooms. He is an extremely wealthy man who does not care about the property or hospitality at all. The hotel struggles to pay for anything, not just updates. We are always having a shortage of supplies because venders cut us off for not paying bills. It is very sad really. The property has much potential to be great.",0.6063694,0.27335173,0.12027889,Negative Sentiment
161848,Crowne-Plaza-Hotels-and-Resorts,12/02/2014, Driver,"Northbrook, IL",5,My time at Crowne Plaza Hotel was one that has grown my ability to work in different types of working environments.,"It is a fast pace working environment, you have different guests coming and going for all over, you got to met people that you wouldn't always have chance to met and the people that work there are very friendly and helpful, I felt more like a Family to my co workers than just co workers.",Maybe a little better communication between the employees.,"My time at Crowne Plaza Hotel was one that has grown my ability to work in different types of working environments. It is a fast pace working environment, you have different guests coming and going for all over, you got to met people that you wouldn't always have chance to met and the people that work there are very friendly and helpful, I felt more like a Family to my co workers than just co workers. Maybe a little better communication between the employees.",0.001772058,0.029077716,0.96915025,Positive Sentiment
161849,Crowne-Plaza-Hotels-and-Resorts,13/02/2014, Waitress,Copenhagen,4,Good place to work,"Friendly atmosphere, knowledgeable management stuff, good pay. Stuff was very helpful ready to explain things and help. Focus on customer service and efficiency. Fast pace environment that teaches how to be  focused, disciplined, follow orders and at the same time be able to take ownership of the situation and improvise to ensure high quality customer service.",It might be hard for some people to put long hours and night shifts.   However that comes with this type of work.,"Good place to work Friendly atmosphere, knowledgeable management stuff, good pay. Stuff was very helpful ready to explain things and help. Focus on customer service and efficiency. Fast pace environment that teaches how to be  focused, disciplined, follow orders and at the same time be able to take ownership of the situation and improvise to ensure high quality customer service. It might be hard for some people to put long hours and night shifts.   However that comes with this type of work.",0.018156707,0.12735873,0.85448456,Positive Sentiment
161850,Crowne-Plaza-Hotels-and-Resorts,27/02/2014," Hostess, Bannquets, Bartender","West Palm Beach, FL",5,wonderful experience,guests are easy to please. great team work.beautiful atmosphere,I did not have to deal with anything. if I work late they  allowed me to stay over because I was the break fast set up and opener,wonderful experience guests are easy to please. great team work.beautiful atmosphere I did not have to deal with anything. if I work late they  allowed me to stay over because I was the break fast set up and opener,0.004909028,0.026235623,0.9688553,Positive Sentiment
161851,Crowne-Plaza-Hotels-and-Resorts,03/03/2014, HOUSEMAN,"Seattle, WA",3,"Not a bad gig, they'll take care of you","Good hours, with mandatory breaks",Not much overtime is offered,"Not a bad gig, they'll take care of you Good hours, with mandatory breaks Not much overtime is offered",0.01179884,0.08900547,0.8991957,Positive Sentiment
161852,Crowne-Plaza-Hotels-and-Resorts,11/03/2014, ,,5,Just Like Family,The work environment is wonderful. The people are very friendly and work well as a team.,There are some standard annoyances that come with any job.,Just Like Family The work environment is wonderful. The people are very friendly and work well as a team. There are some standard annoyances that come with any job.,0.00568355,0.020153228,0.9741632,Positive Sentiment
161853,Crowne-Plaza-Hotels-and-Resorts,23/03/2014, Doormen,"Knoxville, TN",3,Not a bad little gig,"Tips were great when hotel was busy, free meals, good opportunity for young people/college kids to network.","Dealing with pretentious guests, wearing the bellhop outfit, most people that work in the hotel industry are crazy.  Employee meals were average.  Overall a good part-time gig.","Not a bad little gig Tips were great when hotel was busy, free meals, good opportunity for young people/college kids to network. Dealing with pretentious guests, wearing the bellhop outfit, most people that work in the hotel industry are crazy.  Employee meals were average.  Overall a good part-time gig.",0.037313443,0.13352484,0.82916176,Positive Sentiment
161854,Crowne-Plaza-Hotels-and-Resorts,23/03/2014, Shift Engineer,Bangalore,3,Engineer,Individual Responsibility Self Decision no Proper head of Department,Challenges are project involvement and Operation both together,Engineer Individual Responsibility Self Decision no Proper head of Department Challenges are project involvement and Operation both together,0.13161954,0.8178977,0.050482802,Neutral Sentiment
161855,Crowne-Plaza-Hotels-and-Resorts,06/04/2014, Guest Services Agent,"Lansing, MI",3,Decent for a College job,The best thing about the hotel are the people. Your co-workers are the best people in the world and very humorous.,Internally there are huge divides between departments and it seems that know one handles one problem the same.,Decent for a College job The best thing about the hotel are the people. Your co-workers are the best people in the world and very humorous. Internally there are huge divides between departments and it seems that know one handles one problem the same.,0.008140492,0.05057405,0.94128543,Positive Sentiment
161856,Crowne-Plaza-Hotels-and-Resorts,08/04/2014, Anonymous Employee,,2,One the the unsafest hotels to work for.,Most of the people that work there are great.,This hotel is poorly run and is very unsafe.,One the the unsafest hotels to work for. Most of the people that work there are great. This hotel is poorly run and is very unsafe.,0.8547025,0.11944603,0.025851563,Negative Sentiment
161857,Crowne-Plaza-Hotels-and-Resorts,14/04/2014, Anonymous Employee,Jeddah,3,Neutral Experience,It's a great place to work for a graduate. But not for a qualified person.,No potential for personnel growth.,Neutral Experience It's a great place to work for a graduate. But not for a qualified person. No potential for personnel growth.,0.37364388,0.4062701,0.2200861,Neutral Sentiment
161858,Crowne-Plaza-Hotels-and-Resorts,19/05/2014, Server,"Orlando, FL",3,"Good money as Server, way too corporate though","Great money for in-between career people, or small family. 
Great resume glitter.","Upper Management cares nothing about you.
If you mess anything up, there's little room for patience.
Lots of downtime as Server sometimes.","Good money as Server, way too corporate though Great money for in-between career people, or small family. 
Great resume glitter. Upper Management cares nothing about you.
If you mess anything up, there's little room for patience.
Lots of downtime as Server sometimes.",0.14470877,0.33631715,0.51897407,Positive Sentiment
161859,Crowne-Plaza-Hotels-and-Resorts,21/05/2014, Front Desk Agent,"White Plains, NY",4,Front Desk Agent,"In my opinion, I like working here because this company offer great incentives to their employees; at least better than other employers that I've worked for in the past.","One con that I can think about is the pay rate, which is far from adequate especially living in New York City.","Front Desk Agent In my opinion, I like working here because this company offer great incentives to their employees; at least better than other employers that I've worked for in the past. One con that I can think about is the pay rate, which is far from adequate especially living in New York City.",0.034814406,0.10684344,0.8583422,Positive Sentiment
161860,Crowne-Plaza-Hotels-and-Resorts,21/05/2014, Outlet Supervisor,"Columbus, OH",3,Micro manages,Working for Crowne plaza was a great.  The majority of the hotel management and staff were amazing. There was a decent starting pay and alright benefits.,With such a large place and having so many departments it was easy to get over looked by upper management.  Don't expect an annual raise.  They are pretty much non existent. The work life balance is terrible. If you are not an salaried manager you will pick up all the slack after 5pm.  Constantly under staffed.,Micro manages Working for Crowne plaza was a great.  The majority of the hotel management and staff were amazing. There was a decent starting pay and alright benefits. With such a large place and having so many departments it was easy to get over looked by upper management.  Don't expect an annual raise.  They are pretty much non existent. The work life balance is terrible. If you are not an salaried manager you will pick up all the slack after 5pm.  Constantly under staffed.,0.2515534,0.28922823,0.4592184,Positive Sentiment
161861,Crowne-Plaza-Hotels-and-Resorts,16/06/2014, Anonymous Employee,"Virginia Beach, VA",2,never changes,"flexible schedules
opportunities for advancement (if you work really well and suck up to management)","unorganized
no communication 
cheap with everything
not consistent","never changes flexible schedules
opportunities for advancement (if you work really well and suck up to management) unorganized
no communication 
cheap with everything
not consistent",0.56362534,0.35114586,0.08522875,Negative Sentiment
